file,speaker,text
1b8f99b653,7f880,मानिसहरू अन्नाको समर्थनमा
fcb0965573,09e5c,यसलाई कम्मरसम्म आउने
d3168e0fc7,df933,फतेहाबाद र पश्चिममा
0f6725b07e,fd59f,लगेर हानेमा गलत
1c8de260e9,90bdd,वा नयाँ राष्‍ट्रपतिको
9fdf923991,4170b,लालगेडी बोझो गुर्जो
e422aa1319,8b798,यो बाजा नेपालको
8f8742830f,555eb,समयमा अघि चल
e3677de14a,40e98,जनआन्दोलन शब्दले जनता
884a47ae6a,f743c,भाषाहरूमा भन्दा बढी
34da7254b4,8f7f7,धर्के ढुकुर नेपालमा पाइने एक प्रकारको चराको नाम हो।
d83ad0f71d,9cc50,सूर्यको प्रकाशमा भिटामिन
662be322fc,aae92,प्रदर्शित भयो जसपछि
0f43e91c4e,2483a,राज्य सिक्किमको
733680ed8d,e82ed,धारण गर्नुपर्छ
2c9a8ae712,882ce,क्षेत्रलाई दैलेख जिल्लामा
747d69f360,07179,निरूपण आदि प्राचीन
f31cca6d22,e4714,छोसेर नेपालको पश्चिमाञ्चल
7256ebd99d,916c6,आस्तिकलाई आस्था प्रकृतिको
d45c7381b0,1f917,गिद्ध र चिललाई खुवाउनुहुन्छ
9a1a119fb2,804c8,सकारात्मक कुरा
775af8d96b,4dccf,यो इस्लामको पहिलो
1fe4334653,cb53f,नै नगरी एक
e10084ba34,12f3b,अवस्थामा पुगेको थियो
bc0b356432,d593e,उपचार पनि गरियो
0431eb79a9,4b9fc,गाविसहरूको लेखसँग यो
d3d46f010c,555eb,हालसम्म सङ्ग्रहालयलाई प्राप्त
3019f0e21f,145c1,सङ्घीय निर्वाचनहरूमा युनाइटेड
53b6ec44c3,c09aa,असोजमा भएको थियो
51508b7559,423bf,लिङ्क्स हो जुन
4b506ceff9,14763,दुर्घटनापछि चलचित्रको कथाको
ee04c6319a,bad17,बाटो पहिल्याउँछन् भने
d69fc59943,e4596,उनलाई जुन धार्मिक
70dc4df631,4cefa,जीवनको प्रथम रूपमा भयो
730649b8e1,81624,यस चाडमा चेली
b66f7d326a,b9139,साबुन पनि यसमा
d18645f45d,e349f,कविता निकाल्छु
f1acae2f1d,aec4a,नगि आदि कार्य
c4c0eebad1,09eb9,शिष्याबोधाय हुन्
2cca206432,b7116,त्यो प्रतिकृयात्मक हुन्छ